depth,gr_2,NPHI,Cali,rhob,shal_res,deep_res,PHIDE,PHINE,PHIEXND,PHIEXND_gas_cor,Swa,Vsh_GR,Reservoir_Flag
4017.7593,18.5619754,0.06734029,8.53722858,2.43505859,276.90805,479.976989,0.13867187741935472,0.06734029,0.06967264015967736,0.09805698103264822,0.21833462462347633,0.06727217927245822,1
4017.7974,18.98843,0.06728993,8.53652,2.43178415,282.777404,527.981689,0.1407844193548387,0.06728993,0.07072865932741935,0.09955075470971333,0.20504885716253216,0.07037525318425136,1
4017.8355,19.4148845,0.06723957,8.53581237,2.42850947,306.700744,575.986328,0.14289711612903233,0.06723957,0.07178475591451616,0.10104463843760224,0.1934158135229234,0.07347832636839988,1
4017.8736,19.8413391,0.06718921,8.53510475,2.42523503,330.624114,623.991027,0.14500965806451604,0.06718921,0.07284077508225802,0.10253841321910025,0.1831199139868023,0.07658140028019302,1
4017.9117,19.6418266,0.06733053,8.53451251,2.42213916,377.223358,636.5802,0.1470069935483871,0.06733053,0.07384014942419355,0.10395073230180375,0.17883693746964202,0.07512965832729435,1
4017.9498,19.4423141,0.06747184,8.53392028,2.41904306,423.822601,649.169372,0.14900447741935485,0.06747184,0.07483959790967742,0.10536315659644582,0.17472037630754908,0.07367791637439565,1
4017.9879,19.2428016,0.06761316,8.53332805,2.41594696,470.238525,661.758544,0.15100196129032262,0.06761316,0.0758390464451613,0.10677558116785085,0.17076136506161615,0.07222617442149697,1
4018.026,19.0432891,0.06775447,8.53273582,2.41285109,516.654479,674.347717,0.15299929677419338,0.06775447,0.0768384207370967,0.10818790108006117,0.16695164376852847,0.07077443246859827,1
4018.0641,19.3191795,0.06688711,8.53552722,2.41363549,562.704101,688.583679,0.15249323225806455,0.06688711,0.07658105167903227,0.10783003587373148,0.1657651490068544,0.07278193409422073,1
4018.1022,19.5950698,0.06601974,8.53831863,2.41442012,608.753784,702.81958,0.15198701935483871,0.06601974,0.07632360837741936,0.10747206593570044,0.1646242528659047,0.07478943499219858,1
4018.1403,19.8709602,0.06515237,8.54111003,2.41520452,666.759887,717.055541,0.15148095483870958,0.06515237,0.07606623926935478,0.10711420111726276,0.1635264050159047,0.07679693661782103,1
4018.1784,20.1468505,0.06428501,8.54390144,2.41598892,724.76593,731.291503,0.15097489032258046,0.06428501,0.07580887021129024,0.10675633649616839,0.16246971358112558,0.07880443751579887,1
4018.2165,20.0330009,0.06398694,8.54028797,2.41905403,731.259521,694.657104,0.14899740000000006,0.06398694,0.07481863470000003,0.1053580434509133,0.1689111826593624,0.0779760170376798,1
4018.2546,19.9191513,0.06368888,8.53667449,2.4221189,737.753173,658.022705,0.14702006451612895,0.06368888,0.07382847665806448,0.10395986003662733,0.17588354674027012,0.0771475965595607,1
4018.2927,19.8052997,0.06339082,8.53306102,2.42518377,728.552001,621.388305,0.14504272903225812,0.06339082,0.07283831861612906,0.10256167677239653,0.18346139451341226,0.07631916152854941,1
4018.3308,19.6914501,0.06309276,8.52944755,2.42824888,719.35083,584.753906,0.1430652387096774,0.06309276,0.0718480831548387,0.10116338417800538,0.19173501222326375,0.07549074105043033,1
4018.3689,19.7516994,0.0627634,8.53086185,2.42973113,685.765747,548.087219,0.14210894838709676,0.0627634,0.07136829119354837,0.10048718111312628,0.19937735928578051,0.07592914183455551,1
4018.407,19.8119506,0.06243405,8.53227615,2.43121337,652.180725,511.420501,0.14115266451612896,0.06243405,0.07088850250806447,0.09981098261479743,0.2077992341456519,0.07636755644392831,1
4018.4451,19.8722,0.06210469,8.53369045,2.43269586,606.687927,474.753784,0.14019621935483872,0.06210469,0.07040863312741936,0.09913467007218528,0.2171458618257287,0.07680595795569813,1
4018.4832,19.9324493,0.06177534,8.53510475,2.43417811,561.195129,438.087097,0.13923992903225804,0.06177534,0.06992884121612902,0.09845846702079884,0.2276030302065743,0.07724435873982331,1
4018.5213,20.1632423,0.06256251,8.5368824,2.43401789,530.047851,410.348266,0.13934329677419363,0.06256251,0.06998446093709682,0.09853158316668506,0.23499551747240968,0.07892371156501146,1
4018.5594,20.3940353,0.06334967,8.53865909,2.43385744,498.900512,382.609405,0.13944681290322566,0.06334967,0.07004015480161284,0.09860480451513541,0.24318424955152357,0.08060306439019958,1
4018.5975,20.6248264,0.06413684,8.54043579,2.43369722,482.807952,354.870544,0.13955018064516125,0.06413684,0.07009577452258063,0.09867792121726535,0.252322728553381,0.08228240339014012,1
4018.6356,20.8556194,0.06492401,8.54221343,2.433537,466.715393,327.131713,0.13965354838709684,0.06492401,0.07015139424354842,0.09875103819660491,0.2626082383501875,0.08396175621532824,1
